-29576	-18060
-30089	-30585
30586	-30584
30600	-26967
-30329	-26744
-30377	-14473
-14010	-30376
30616	31128
31383	-26217
27544	-26789
-25662	24671
18076	23286
30282	-31013
-26332	30905
13291	-26995
25519	-30297
14204	-21579
26280	-22150
-25927	-26285
-22407	30075
-30600	-22393
-22153	30585
-30599	-30584
-26455	-27032
31353	-26505
23208	-30585
-16512	-30094
26520	27259
-22395	31321
-26716	20406
27034	27012
2795	-26427
21423	-27203
30420	25758
-20055	-26743
26356	-20837
30298	-26778
31105	-13971
7855	-28039
-32308	25448
-30376	-26059
26792	9641
16536	973
-2161	-22683
13784	18394
25996	-14195
-22413	23428
-22955	24425
-30585	-27509
-30584	-30872
-22938	-7077
-24846	-28872
26041	-2242
26042	-21115
-14967	-30819
26027	27559
30343	18074
31640	-30569
-22377	19033
-32564	27743
-29805	-31366
-22904	-22443
-17447	26196
18633	-21180
-18562	-22414
-14237	26746
-14238	27077
-22977	14758
14950	22425
-18849	-17580
-31142	31865
22951	31833
-30550	-22152
-31367	26567
-26504	30838
-20504	-1966
-31047	-26009
26761	-26744
31111	27032
-30554	-26200
-31081	30873
26757	22982
26970	31396
-29786	-22171
-22199	-5276
-29578	26523
-31128	-26182
-22664	-22345
29822	-25644
-22904	30059
-29768	-18584
30648	-26742
-19206	10667
26235	24288
-31890	-31620
-26455	-31077
-26746	-21349
14948	-22342
-2372	-29913
25162	-1622
-30581	31128
26537	27526
-31621	26505
31143	19126
-14008	-26265
-26461	2186
-31020	26717
-13193	-19660
-25733	20228
16695	-14213
-26280	-25739
-31063	-26743
-19097	31147
26758	-30809
-27256	27785
-25962	30584
31368	-30855
-30358	25711
-27494	19419
31921	26536
-26778	30633
-21828	22854
-14184	31095
-22408	-22423
-22666	-30583
32678	-1019
26853	-25993
31812	30583
-29512	23683
27157	30186
19111	-26777
-19077	-18858
23157	22188
6835	-19313
-22654	31164
26551	26508
30661	19352
23433	31334
19930	-30107
-26505	-21580
-10602	-30630
-26486	-26759
-29917	-30552
10488	-29847
-13403	15193
-26981	-27332
-26473	26205
23672	-26554
26521	-31048
30587	-22394
-14327	-2013
-13962	-23448
19143	-31080
-14760	-30327
-23175	-30838
19114	-18538
-30583	-22680
-30840	-30839
32117	9623
20887	-21927
-16369	1786
-10375	-19666
26029	14842
-32241	22264
22871	-28535
23131	-24500
15447	-3438
19527	-11151
-14791	-879
-20392	12280
32047	-12182
18623	-2153
21497	-31170
-23880	-29896
29885	-25544
-30697	29337
26307	-9555
21643	-25703
-9336	31591
-14421	27031
-30299	-18585
31365	10650
26552	-22166
18734	30424
-2040	-27063
26491	30119
-26501	22683
30618	30346
23450	-22425
-26742	-31063
-22123	-29832
31398	-22122
-32120	-20856
-18567	-910
-14254	-30599
-14473	-18404
-28472	15271
-21394	26453
-17736	23169
-30817	25451
-32169	30878
-26230	-25723
22985	23205
-30857	30618
-2169	10427
-31156	-30777
-17007	26984
25768	-15173
1935	-28423
-29848	31137
-22922	26582
-18628	-21927
-11490	31882
-17609	-27018
-27017	-22198
31317	-30519
-10362	-3507
19801	-22189
12749	-15714
19028	-26471
-26724	30327
-31096	-14200
-30853	-30346
-14439	27223
-17125	-23418
-17224	18105
-31640	23178
-12651	-30105
-18296	25450
-9594	-27801
-17290	31128
28561	-6294
26804	-25498
-30068	18870
-14740	28264
22763	17354
-21613	27989
-18684	-29031
19413	-28056
22391	-27989
-22408	-22666
25464	-25959
-29401	-26202
18293	-27461
-29582	32166
-29834	15526
-26234	-25468
29082	-26210
-26998	-6644
30632	-30821
-6812	-29785
23178	-26505
10934	27082
-30552	-31080
-32615	-22881
-26490	-30582
-30312	-26505
-22394	-25769
-18633	-10163
20986	-17335
21211	-18358
-1686	-30634
-13157	26198
-30795	-17032
23156	-20325
12714	-10820
24120	25269
22214	-29285
-22086	26682
-21973	-27242
-30867	-29295
11222	-22871
-27253	22695
30619	-13784
31366	26534
30284	-14137
-26205	23464
29514	18842
